date,price
03/08/2019,43.2275
03/11/2019,44.725
03/12/2019,45.2275
03/13/2019,45.4275
03/14/2019,45.9325
03/15/2019,46.53
03/18/2019,47.005
03/19/2019,46.6325
03/20/2019,47.04
03/21/2019,48.7725
03/22/2019,47.7625
03/25/2019,47.185
03/26/2019,46.6975
03/27/2019,47.1175
03/28/2019,47.18
03/29/2019,47.4875
04/01/2019,47.81
04/02/2019,48.505
04/03/2019,48.8375
04/04/2019,48.9225
04/05/2019,49.25
04/08/2019,50.025
04/09/2019,49.875
04/10/2019,50.155
04/11/2019,49.7375
04/12/2019,49.7175
04/15/2019,49.8075
04/16/2019,49.8125
04/17/2019,50.7825
04/18/2019,50.965
04/22/2019,51.1325
04/23/2019,51.87
04/24/2019,51.79
04/25/2019,51.32
04/26/2019,51.075
04/29/2019,51.1525
04/30/2019,50.1675
05/01/2019,52.63
05/02/2019,52.2875
05/03/2019,52.9375
05/06/2019,52.12
05/07/2019,50.715
05/08/2019,50.725
05/09/2019,50.18
05/10/2019,49.295
05/13/2019,46.43
05/14/2019,47.165
05/15/2019,47.73
05/16/2019,47.52
05/17/2019,47.25
05/20/2019,45.7725
05/21/2019,46.65
05/22/2019,45.695
05/23/2019,44.915
05/24/2019,44.7425
05/28/2019,44.5575
05/29/2019,44.345
05/30/2019,44.575
05/31/2019,43.7675
06/03/2019,43.325
06/04/2019,44.91
06/05/2019,45.635
06/06/2019,46.305
06/07/2019,47.5375
06/10/2019,48.145
06/11/2019,48.7025
06/12/2019,48.5475
06/13/2019,48.5375
06/14/2019,48.185
06/17/2019,48.4725
06/18/2019,49.6125
06/19/2019,49.4675
06/20/2019,49.865
06/21/2019,49.695
06/24/2019,49.645
06/25/2019,48.8925
06/26/2019,49.95
06/27/2019,49.935
06/28/2019,49.48
07/01/2019,50.3875
07/02/2019,50.6825
07/03/2019,51.1025
07/05/2019,51.0575
07/08/2019,50.005
07/09/2019,50.31
07/10/2019,50.8075
07/11/2019,50.4375
07/12/2019,50.825
07/15/2019,51.3025
07/16/2019,51.125
07/17/2019,50.8375
07/18/2019,51.415
07/19/2019,50.6475
07/22/2019,51.805
07/23/2019,52.21
07/24/2019,52.1675
07/25/2019,51.755
07/26/2019,51.935
07/29/2019,52.42
07/30/2019,52.195
07/31/2019,53.26
08/01/2019,52.1075
08/02/2019,51.005
08/05/2019,48.335
08/06/2019,49.25
08/07/2019,49.76
08/08/2019,50.8575
08/09/2019,50.2475
08/12/2019,50.12
08/13/2019,52.2425
08/14/2019,50.6875
08/15/2019,50.435
08/16/2019,51.625
08/19/2019,52.5875
08/20/2019,52.59
08/21/2019,53.16
08/22/2019,53.115
08/23/2019,50.66
08/26/2019,51.6225
08/27/2019,51.04
08/28/2019,51.3825
08/29/2019,52.2525
08/30/2019,52.185
09/03/2019,51.425
09/04/2019,52.2975
09/05/2019,53.32
09/06/2019,53.315
09/09/2019,53.5425
09/10/2019,54.175
09/11/2019,55.8975
09/12/2019,55.7713
09/13/2019,54.6875
09/16/2019,54.975
09/17/2019,55.175
09/18/2019,55.6925
09/19/2019,55.24
09/20/2019,54.4325
09/23/2019,54.68
09/24/2019,54.42
09/25/2019,55.2575
09/26/2019,54.9725
09/27/2019,54.705
09/30/2019,55.9925
10/01/2019,56.1475
10/02/2019,54.74
10/03/2019,55.205
10/04/2019,56.7525
10/07/2019,56.765
10/08/2019,56.1
10/09/2019,56.7575
10/10/2019,57.5225
10/11/2019,59.0525
10/14/2019,58.9675
10/15/2019,58.83
10/16/2019,58.5925
10/17/2019,58.82
10/18/2019,59.1025
10/21/2019,60.1275
10/22/2019,59.99
10/23/2019,60.795
10/24/2019,60.895
10/25/2019,61.645
10/28/2019,62.2625
10/29/2019,60.8225
10/30/2019,60.815
10/31/2019,62.19
11/01/2019,63.955
11/04/2019,64.375
11/05/2019,64.2825
11/06/2019,64.31
11/07/2019,64.8575
11/08/2019,65.035
11/11/2019,65.55
11/12/2019,65.49
11/13/2019,66.1175
11/14/2019,65.66
11/15/2019,66.44
11/18/2019,66.775
11/19/2019,66.5725
11/20/2019,65.7975
11/21/2019,65.5025
11/22/2019,65.445
11/25/2019,66.5925
11/26/2019,66.0725
11/27/2019,66.96
11/29/2019,66.8125
12/02/2019,66.04
12/03/2019,64.8625
12/04/2019,65.435
12/05/2019,66.395
12/06/2019,67.6775
12/09/2019,66.73
12/10/2019,67.12
12/11/2019,67.6925
12/12/2019,67.865
12/13/2019,68.7875
12/16/2019,69.965
12/17/2019,70.1025
12/18/2019,69.935
12/19/2019,70.005
12/20/2019,69.86
12/23/2019,71.0
12/24/2019,71.0675
12/26/2019,72.4775
12/27/2019,72.45
12/30/2019,72.88
12/31/2019,73.4125
01/02/2020,75.0875
01/03/2020,74.3575
01/06/2020,74.95
01/07/2020,74.5975
01/08/2020,75.7975
01/09/2020,77.4075
01/10/2020,77.5825
01/13/2020,79.24
01/14/2020,78.17
01/15/2020,77.835
01/16/2020,78.81
01/17/2020,79.6825
01/21/2020,79.1425
01/22/2020,79.425
01/23/2020,79.8075
01/24/2020,79.5775
01/27/2020,77.2375
01/28/2020,79.4225
01/29/2020,81.085
01/30/2020,80.9675
01/31/2020,77.3775
02/03/2020,77.165
02/04/2020,79.7125
02/05/2020,80.3625
02/06/2020,81.3025
02/07/2020,80.0075
02/10/2020,80.3875
02/11/2020,79.9025
02/12/2020,81.8
02/13/2020,81.2175
02/14/2020,81.2375
02/18/2020,79.75
02/19/2020,80.905
02/20/2020,80.075
02/21/2020,78.2625
02/24/2020,74.545
02/25/2020,72.02
02/26/2020,73.1625
02/27/2020,68.38
02/28/2020,68.34
03/02/2020,74.7025
03/03/2020,72.33
03/04/2020,75.685
03/05/2020,73.23
03/06/2020,72.2575
03/09/2020,66.5425
03/10/2020,71.335
03/11/2020,68.8575
03/12/2020,62.0575
03/13/2020,69.4925
03/16/2020,60.5525
03/17/2020,63.215
03/18/2020,61.6675
03/19/2020,61.195
03/20/2020,57.31
03/23/2020,56.0925
03/24/2020,61.72
03/25/2020,61.38
03/26/2020,64.61
03/27/2020,61.935
03/30/2020,63.7025
03/31/2020,63.5725
04/01/2020,60.2275
04/02/2020,61.2325
04/03/2020,60.3525
04/06/2020,65.6175
04/07/2020,64.8575
04/08/2020,66.5175
04/09/2020,66.9975
04/13/2020,68.3125
04/14/2020,71.7625
04/15/2020,71.1075
04/16/2020,71.6725
04/17/2020,70.7
04/20/2020,69.2325
04/21/2020,67.0925
04/22/2020,69.025
04/23/2020,68.7575
04/24/2020,70.7425
04/27/2020,70.7925
04/28/2020,69.645
04/29/2020,71.9325
04/30/2020,73.45
05/01/2020,72.2675
05/04/2020,73.29
05/05/2020,74.39
05/06/2020,75.1575
05/07/2020,75.935
05/08/2020,77.5325
05/11/2020,78.7525
05/12/2020,77.8525
05/13/2020,76.9125
05/14/2020,77.385
05/15/2020,76.9275
05/18/2020,78.74
05/19/2020,78.285
05/20/2020,79.8075
05/21/2020,79.2125
05/22/2020,79.7225
05/26/2020,79.1825
05/27/2020,79.5275
05/28/2020,79.5625
05/29/2020,79.485
06/01/2020,80.4625
06/02/2020,80.835
06/03/2020,81.28
06/04/2020,80.58
06/05/2020,82.875
06/08/2020,83.365
06/09/2020,85.9975
06/10/2020,88.21
06/11/2020,83.975
06/12/2020,84.7
06/15/2020,85.7475
06/16/2020,88.02
06/17/2020,87.8975
06/18/2020,87.9325
06/19/2020,87.43
